source,nickname,date,title,text,href
dc,ㅇㅇ,2022.08.19 21:16:57,원더보이 끝,"

휘타 15-17세 연기 끝판왕이네.진짜 잘하고 미성으로 쭉쭉 뽑아내는 노래도 좋다. 
근데 내용전개 왜이래. 
원작 안봤는데 지철이 연기하는 캐가 암호 만들었는데 그거 란주한테 말해서 죽은거야?? 
뭔가 되게 구멍 뻥뻥 뚫린 전개 같음. 
그래서 결국 상처입은 사람들끼리 서로 살아갈 이유가 되어준다는 거여? 보여주고 싶은 게 이거야? 
진짜 억지로 내 머리 짜내고 짜내어서 유추해보자니 이거 밖엔 모르겠는데 
이따위로 듬성듬성 보여준게 최선인가? 
배우는 정말 열심히 하고 잘하는데, 작가랑 연출 도대체 뭐한거야??? 
원작 읽고 싶어지게 만드네. 이걸 노린거라면 성공. 
지철 캐릭터 비중 겁나 없어. 지철 보려고 보는 바발들에게는 위로를…
플북 볼 수 있는 큐알코드 추가함.

",https://gall.dcinside.com/mini/board/view/?id=musicalplay&no=42510&search_pos=-45499&s_type=search_subject_memo&s_keyword=원더보이&page=1
dc,ㅇㅇ,2022.08.11 11:06:37,ㅃㅃㅃ 서뮤단 홍보팀 누구냐,"

원더보이 광고문자 올때마다 골때리네 ㅋㅋㅋㅋ

",https://gall.dcinside.com/mini/board/view/?id=musicalplay&no=38208&search_pos=-45499&s_type=search_subject_memo&s_keyword=원더보이&page=1
dc,ㅇㅇ,2022.07.04 13:41:21,서울시뮤지컬단 뮤지컬 <원더보이>,"

공원에서 캡쳐해옴,, 
정보탭 맞겠...지?

",https://gall.dcinside.com/mini/board/view/?id=theatergoing&no=12102&search_pos=-13433&s_type=search_subject_memo&s_keyword=원더보이&page=1
dc,ㅇㅇ,2021.08.24 17:35:23,ㅃ 한예종 쇼케 원더보이 본사 있어?,"

궁금한데 ㅠㅠ 후기라도 듣고싶다 ㅠㅠㅠ 작곡 땡베리 작곡가길래 넘궁금

",https://gall.dcinside.com/board/view/?id=theaterM&no=3126358&search_pos=-3070428&s_type=search_subject_memo&s_keyword=원더보이&page=1
dc,ㅇㅇ,2021.08.24 14:21:55,ㅈㅁㄱㅁㅇ 한예종 쇼케 양도 불가지?,"

하 원더보이 쇼케 혐생때문에 못갈거같다 ㅜㅜㅜ 몇명 못가는거라 나눔이라도 하고싶은데...
 

",https://gall.dcinside.com/board/view/?id=theaterM&no=3126143&search_pos=-3070428&s_type=search_subject_memo&s_keyword=원더보이&page=1
dc,ㅇㅇ,2021.08.13 09:52:21,한예종 연출가프로젝트 배우 누군지 떴는데,"

[다이디타운] - 8월 18일(수) 오후 4시  출연  정인지  곽나윤  김아영   이진우   강현모시놉시스먼 미래, 사람들은 황폐화된 지구를 떠나 ‘그 곳’으로 불리는 외부 항성계로 이주하기 시작한다. 돈이 없어 이주는 꿈도 못 꾸는 사람들은 불법과 거짓이 난무하는 다이디타운에 남겨진다.한편 돈만 주면 양말 한쪽도 찾아주는 가난한 사립 탐정 드레이어는 엘메로의 바(BAR)에 위장 잠입하고클론 사업의 일인자 요코마타의 클론이 탈출했다는 고급 정보를 듣게 된다.인생역전을 위해 클론을 찾겠다고 다짐하는 드레이어의 앞에 애인을 찾아달라는 의뢰인, 진 할로가 나타나는데...
[시디스] - 8월 21일(토) 오후 4시 ※ 7시 30분 공연은 취소되었습니다  출연  강찬  박건  김방언  한상욱시놉시스15세에 대학교수가 된 천재 윌리엄은 어느 날 조용히 사라지고 프랭크의 집에서 은둔생활을 한다.투철한 기자정신으로 무장한 유진은 윌리엄이 갑자기 사라진 이유에 대해 궁금해 하며 윌리엄의 행적을 쫓는다, 마침내 유진은 윌리엄의 거처를 찾아간다. 유진은 윌리엄이 갑자기 사라진 이유와 그동안 무엇을 했는지에 대해 인터뷰를 요청한다. 윌리엄은 유진의 추궁에도 그런 적이 없다며 인터뷰를 거절하지만, 유진은 윌리엄과 단독인터뷰를 했다며 거짓기사를 작성하는데...
[원더보이] - 8월 24일(화) 오후 4시  출연  임규형  신의정  안재영  한규정  김은주  송창근시놉시스평범한 소년이었던 ‘정훈’의 삶은 교통사고에서 깨어난 후 완전히 뒤바뀐다. 유일한 가족이었던 아버지를 앗아간 그 사고는 정훈에게 다른 사람들의 생각과 감정을 느낄 수 있는 특별한 초능력을 준다. 어느 날 갑자기 ‘원더보이’가 된 소년…. 그의 초능력을 이용하려는 사람들 속에서 정훈은 자신과 닮아있는 형, ‘강토’를 만나게 되고 죽은 줄 알았던 엄마를 찾기 위해 고군분투하며 성장한다. 이 이야기는 한 소년의 성장기이자, 1980년대를 살아낸 사람들의 초상, 그리고 정훈과 같은 이들을 위한 연대기이다. 
[여기, 피화당] - 8월 27일(금) 오후 4시  출연  랑연  조훈  강연정  이한별  이찬렬시놉시스병자호란이 휩쓸고 간 황폐한 조선. 암울한 백성들의 삶을 달래주는 건 한 달에 한 번씩 판매되는 찌라시 소설‘피화당 이야기.’ 선비 최후량은 현실을 통쾌하지만 담담하게 비판하는 소설의 내용에 반해 작가를 찾아 나선다.우여곡절 끝에 찾았지만 왜인지 동굴에 숨어서 끝까지 정체를 밝히지 않는 작가. 선비 후량은 조선의 현실과 아픔을 담은 글이 후대까지 남을 수 있도록 책의 집필을 제안하는데.. 
아는 이름 엄청 많네ㅋㅋ

",https://gall.dcinside.com/board/view/?id=theaterM&no=3119335&search_pos=-3070428&s_type=search_subject_memo&s_keyword=원더보이&page=1
twitter,kht4450,2022-11-30 14:45:28+00:00,,"RT @teuk2hae: 원더보이 음중👍 이젠 음방에서 이런 귀여움은 다신 못볼듯,,,,, 겸디 이특 추팔해욥 https://t.co/DvtGt8mD3T",https://twitter.com/twitter/status/1597965038643736581
twitter,Krahslen,2022-11-30 09:54:35+00:00,,"원더가 계속되면 
원더보이 피터",https://twitter.com/twitter/status/1597891835388493824
twitter,ruuuuuunis,2022-11-30 08:46:20+00:00,,다 보고 왔다! 재밌었고 꽃연테는 령구라고 하지만 나는 동해한테도 한표를.. 거울 보면서 U 부르는데 너무 잘생겨서 눈물이.. 그리고 마지막에 원더보이로 마무리 다들 보시죠🥹… https://t.co/41P9EE1PBi,https://twitter.com/twitter/status/1597874660234137603
twitter,bluee_dhelf,2022-11-28 11:11:18+00:00,,RT @makha_23: 이혁재가나의원더보이!!!!!!!! https://t.co/nDmMwx3MEz,https://twitter.com/twitter/status/1597186364411637760
